,0
score_gap_ratio,0.4924716
rank_log_diff,0.39402804
student_line_diff,0.020204546
log_rank_ratio,0.019762447
year_norm,0.0075677386
rank_tier_interaction,0.0072368486
is985_rank_ratio,0.006840816
year,0.0055991886
line_diff,0.0055720173
score_spread,0.0054826424
rank_ratio,0.0048659947
province_code,0.004654665
avg_score,0.0045097144
min_score,0.004500359
student_rank,0.004441889
min_rank,0.0044306503
score_line_est,0.004028413
uni_rank_log,0.003802452
is_211,0.0
is_985,0.0
tier_code,0.0
is_dual_first_class,0.0
best_discipline,0.0
school_type_code,0.0
